นิวยอร์ก,new-yɔ̂ɔk
คำพิพากษา,kham-phí-phâak-sǎa
คัมภีร์ไบเบิล,kham-phii-bay-bə̂n
คัมภีร์,kham-phii
คำพยากรณ์,kham-pha-yaa-kɔɔn
คำผสม,kham-pha-sǒm
คำพังเพย,kham-phaŋ-phəəy
คำผัน,kham-phǎn
คำภาวนา,kham-phaaw-wa-naa
คำปฏิญาณ,kham-pa-tì-yaan
คำปฏิเสธ,kham-pa-tì-sèet
ขโมย,kha-mooy
โขมด,kha-mòot
ขมอง,kha-mɔ̌ɔŋ
ขะมอมขะแมม,khà-mɔɔm-khà-mɛɛm
โขมง,kha-mǒoŋ
ขม่อม,kha-mɔ̀m
คำนูณ,kham-nuun
คำนวณ,kham-nuan
คำนึงถึง,kham-nʉŋ-thʉ̌ŋ
คำนึง,kham-nʉŋ
คำนิยม,kham-ní-yom
คำนิยาม,kham-ní-yaam
ขมึงทึง,kha-mʉ̌ŋ-thʉŋ
คำแนะนำ,kham-nɛ́-nam
คำนับ,kham-náp
คำนำหน้า,kham-nam-nâa
คำนำ,kham-nam
คำนาม,kham-naam
ค่ำมืด,khâm-mʉ̂ʉt
คำมั่นสัญญา,kham-mân-sǎn-yaa
คำเมือง,kham-mʉaŋ
คำมั่น,kham-mân
คำมากพยางค์,kham-mâak-pha-yaaŋ
คำหลวง,kham-lǔaŋ
คำลงท้าย,kham-loŋ-tháay
คำเล่าลือ,kham-lâw-lʉʉ
คำหลัก,kham-làk
คำลามก,kham-laa-mók
คำกริยาวิเศษณ์,kham-krì-yaa-wí-sèet
คำกริยา,kham-krì-yaa
คำกลอน,kham-klɔɔn
คำกล่าวนำ,kham-klàaw-nam
คำกล่าวขวัญ,kham-klàaw-khwǎn
คำกล่าวหา,kham-klàaw-hǎa
คำกล่าวอ้าง,kham-klàaw-âaŋ
คำกล่าว,kham-klàaw
คำขวัญ,kham-khwǎn
คำขู่,kham-khùu
คำคุณศัพท์,kham-khun-na-sàp
คำขอโทษ,kham-khɔ̌ɔ-thôot
คำครหา,kham-khɔɔ-ra-hǎa
คำขอบคุณ,kham-khɔ̀ɔp-khun
ค้ำคอ,khám-khɔɔ
คำขอ,kham-khɔ̌ɔ
คำคม,kham-khom
คำขึ้นต้น,kham-khʉ̂n-tôn
ค่ำคืน,khâm-khʉʉn
คำโคลง,kham-khlooŋ
คำขยาย,kham-kha-yǎay
ขำขัน,khǎm-khǎn
คำๆ,kham-kham
คำขาด,kham-khàat
คำขานรับ,kham-khǎan-ráp
คำแก้ตัว,kham-kɛ̂ɛ-tua
ขมิบ,kha-mìp
ขมิ้น,kha-mîn
ขมีขมัน,kha-mǐi-kha-mǎn
ค้ำหัว,khám-hǔa
คำให้การ,kham-hây-kaan
คำฟ้อง,kham-fɔ́ɔŋ
ค้ำฟ้า,khám-fáa
แขม่วท้อง,kha-mɛ̀w-thɔ́ɔŋ
แขม่ว,kha-mɛ̀w
เขม็ดแขม่,kha-mèt-kha-mɛ̀ɛ
แขม็บ,kha-mɛ̀p
เขม้นขะมัก,khà-mên-khà-màk
เขม็งเกลียว,kha-měŋ-kliaw
เขม็ง,kha-měŋ
เขม้น,kha-mên
เขม่น,kha-mèn
เขมร,kha-měen
คำโดด,kham-dòot
คำดีควาย,kham-dii-khwaay
คำเดี่ยว,kham-dìaw
คำด่า,kham-dàa
ค้ำจุน,khám-cun
ค้ำชู,khám-chuu
คำช่วยกริยา,kham-chûay-krì-yaa
คำชวน,kham-chuan
คำชมเชย,kham-chom-chəəy
คำชม,kham-chom
คำชี้ขาด,kham-chíi-khàat
คำชี้แจง,kham-chíi-cɛɛŋ
คำแช่ง,kham-chɛ̂ŋ
คำเชิญชวน,kham-chəən-chuan
คำเชิญ,kham-chəən
คำเชื่อม,kham-chʉ̂am
คำเฉลย,kham-cha-lə̌əy
คำชักชวน,kham-chák-chuan
คำเชื้อเชิญ,kham-chʉ́a-chəən
คำจำกัดความ,kham-cam-kàt-khwaam
คำจารึก,kham-caa-rʉ́k
คำบุพบท,kham-bùp-pha-bòt
คำบริภาษ,kham-bɔɔ-rí-phâat
คำบอกเล่า,kham-bɔ̀ɔk-lâw
คำเบิกความ,kham-bə̀ək-khwaam
คำบรรยาย,kham-ban-yaay
คำบัญชา,kham-ban-chaa
เขม่า,kha-màw
คำอธิษฐาน,kham-a-thít-thǎan
คำอธิบายศัพท์,kham-a-thí-baay-sàp
คำอธิบายเพิ่มเติม,kham-a-thí-baay-phə̂əm-təəm
คำอธิบาย,kham-a-thí-baay
ขมับ,kha-màp
เขมือบ,kha-mʉ̀ap
ขมัง,kha-mǎŋ
คมนาคม,kha-ma-naa-khom
คมนาการ,kha-ma-naa-kaan
คำอำลา,kham-am-laa
คะมำ,khá-mam
ขะมักเขม้น,khà-mák-khà-mên
ขมา,kha-maa
ขำ,khǎm
ค่ำ,khâm
ค้ำ,khám
คำ,kham
คัคนัมพร,khák-kha-nam-phɔɔn
คัคนางค์,khák-kha-naaŋ
คัคนานต์,khák-kha-naan
คคนัมพร,kha-kha-nam-phɔɔn
คคนางค์,kha-kha-naaŋ
คคนานต์,kha-kha-naan
คหปตานี,kha-ha-pa-taa-nii
คหกรรมศาสตร์,kha-ha-kam-ma-sàat
คหบดี,kha-ha-bɔɔ-dii
โขดง,kha-dooŋ
คดีอุกฉกรรจ์,kha-dii-ùk-cha-kan
คดีแพ่ง,kha-dii-phɛ̂ŋ
คดีมโนสาเร่,kha-dii-ma-noo-sǎa-rêe
คดีลอบสังหาร,kha-dii-lɔ̂ɔp-sǎŋ-hǎan
คดีโลก,kha-dii-lôok
คดีความ,kha-dii-khwaam
คดีแดง,kha-dii-dɛɛŋ
คดีดำ,kha-dii-dam
คดีอนาถา,kha-dii-a-naa-thǎa
คดีอาญา,kha-dii-aa-yaa
คดี,kha-dii
ขจุยขจาย,kha-cuy-kha-caay
ขจุย,kha-cuy
ขจร,kha-cɔɔn
ขจอก,kha-cɔ̀ɔk
ขจิต,kha-cìt
ขจิริด,kha-cì-rìt
ขจี,kha-cii
คชินทร์,kha-chin
คชาธาร,kha-chaa-thaan
คชาภรณ์,kha-chaa-phɔɔn
คชาชีพ,kha-chaa-chîip
คชาชาติ,kha-chaa-châat
ขจัดปัญหา,kha-càt-pan-hǎa
ขจัดคราบ,kha-càt-khrâap
ขจัดขจาย,kha-càt-kha-caay
ขจัด,kha-càt
ขจาย,kha-caay
ขบวนรถไฟ,kha-buan-rót-fay
ขบวนรถ,kha-buan-rót
ขบวนขันหมาก,kha-buan-khǎn-màak
ขบวนการ,kha-buan-kaan
ขบวนแห่,kha-buan-hɛ̀ɛ
ขบวน,kha-buan
ขบถ,kha-bòt
เขบ็จขบวน,kha-bèt-kha-buan
เขบ็ต,kha-bèt
ขายตัว,khǎay-tua
คายตัว,khaay-tua
ขายตรง,khǎay-troŋ
ขายทอดตลาด,khǎay-thɔ̂ɔt-ta-làat
ข่ายโทรศัพท์,khàay-thoo-ra-sàp
คายทิ้ง,khaay-thíŋ
ค่ายทหาร,khâay-tha-hǎan
ขายสด,khǎay-sòt
ขายส่ง,khǎay-sòŋ
ขายปลีก,khǎay-plìik
คายกคณะ,khaa-yók-khá-ná
ข่ายงาน,khàay-ŋaan
ขายหน้าขายตา,khǎay-nâa-khǎay-taa
ขายหน้า,khǎay-nâa
ค่ายมวย,khâay-muay
ขายเหมา,khǎay-mǎw
ขายเลหลัง,khǎay-lee-lǎŋ
ขายของ,khǎay-khɔ̌ɔŋ
ขายคล่อง,khǎay-khlɔ̂ŋ
ขายขาด,khǎay-khàat
ค่ายกักกัน,khâay-kàk-kan
ขายหู,khǎay-hǔu
ขายฝาก,khǎay-fàak
ขายดิบขายดี,khǎay-dìp-khǎay-dii
ขายดี,khǎay-dii
ขายชาติ,khǎay-châat
ขายเชื่อ,khǎay-chʉ̂a
ขายชื่อ,khǎay-chʉ̂ʉ
ขายบ้านขายเมือง,khǎay-bâan-khǎay-mʉaŋ
ขาหยั่ง,khǎa-yàŋ
ค่าย้ายถอน,khâa-yáay-thɔ̌ɔn
ค่ายอาสาพัฒนา,khâay-aa-sǎa-phát-tha-naa
ขาย,khǎay
ค่าย,khâay
ข่าย,khàay
คาย,khaay
ข่าวยกเมฆ,khàaw-yók-mêek
ข้าวเย็น,khâaw-yen
ข่าวใหญ่,khàaw-yày
ข้าวยากหมากแพง,khâaw-yâak-màak-phɛɛŋ
ข้าวตู,khâaw-tuu
ข้าวตอก,khâaw-tɔ̀ɔk
ข้าวต้มกุ๊ย,khâaw-tôm-kúy
ข้าวต้มเครื่อง,khâaw-tôm-khrʉ̂aŋ
ข้าวต้ม,khâaw-tôm
ข่าวท้องถิ่น,khàaw-thɔ́ɔŋ-thìn
ข่าวแต้มสี,khàaw-tɛ̂ɛm-sǐi
ข้าวตัง,khâaw-taŋ
ข้าวตาก,khâaw-tàak
ข้าวสุก,khâaw-sùk
ข้าวสวย,khâaw-sǔay
ข่าวสด,khàaw-sòt
ข้าวซ้อมมือ,khâaw-sɔ́ɔm-mʉʉ
ขาวซีด,khǎaw-sîit
ข่าวสังคม,khàaw-sǎŋ-khom
ข่าวสั้น,khàaw-sân
ข้าวสาร,khâaw-sǎan
ข่าวสาร,khàaw-sǎan
ข้าวสาลี,khâaw-sǎa-lii
ขาวสะอาด,khǎaw-sà-àat
ข่าวร้าย,khàaw-ráay
ข้าวปลูก,khâaw-plùuk
ข้าวเปลือก,khâaw-plʉ̀ak
คาวปลา,khaaw-plaa
ข้าวเปียก,khâaw-pìak
ข้าวโพดคั่ว,khâaw-phôot-khûa
ข้าวโพด,khâaw-phôot
ขาวผ่อง,khǎaw-phɔ̀ŋ
ขาวโพลน,khǎaw-phloon
ข้าวผัด,khâaw-phàt
ข่าวพาดหัว,khàaw-phâat-hǔa
ขาวนวล,khǎaw-nuan
ข้าวนึ่ง,khâaw-nʉ̂ŋ
ข้าวเหนียว,khâaw-nǐaw
ข่าวในประเทศ,khàaw-nay-prà-thêet
ข้าวหนัก,khâaw-nàk
ข้าวนาปรัง,khâaw-nâap-raŋ
ข้าวหมูแดง,khâaw-mǔu-dɛɛŋ
ข้าวหมก,khâaw-mòk
ข่าวไม่มีมูล,khàaw-mây-mii-muun
ข้าวเม่า,khâaw-mâw
ข้าวมัน,khâaw-man
คาวเลือด,khaaw-lʉ̂at
ข้าวหลามตัด,khâaw-lǎam-tàt
ข้าวหลาม,khâaw-lǎam
ข่าวล่า,khàaw-lâa
ข่าวลือ,khàaw-lʉʉ
ข่าวกรอง,khàaw-krɔɔŋ
ข้าวเกรียบ,khâaw-krìap
ข้าวก้นบาตร,khâaw-kôn-bàat
ข้าวกล้อง,khâaw-klɔ̂ŋ
ข้าวกลางวัน,khâaw-klaaŋ-wan
ข้าวกล้า,khâaw-klâa
ข่าวกีฬา,khàaw-kii-laa
ข่าวคราว,khàaw-khraaw
ข้าวของเครื่องใช้,khâaw-khɔ̌ɔŋ-khrʉ̂aŋ-cháy
ข้าวของ,khâaw-khɔ̌ɔŋ
ข่าวโคมลอย,khàaw-khoom-lɔɔy
ข้าวเกรียบปากหม้อ,khâaw-kee-rii-yóp-pàak-mɔ̂ɔ
ข้าวแกง,khâaw-kɛɛŋ
ข้าวเก่า,khâaw-kàw
ข้าวหอมมะลิ,khâaw-hɔ̌ɔm-má-lí
ข้าวห่อ,khâaw-hɔ̀ɔ
ข้าวฟ่าง,khâaw-fâaŋ
ฆ่าเวลา,khâa-wee-laa
ข่าวด่วน,khàaw-dùan
ข่าวดี,khàaw-dii
ขาวจั๊วะ,khǎaw-cúa
ข้าวแช่,khâaw-chɛ̂ɛ
ข้าวเจ้า,khâaw-câaw
ข้าวเบา,khâaw-baw
ขาว,khǎaw
ข้าว,khâaw
ค่าว,khâaw
ข่าว,khàaw
คาว,khaaw
คาดหวัง,khâat-wǎŋ
ฆ่าตัวตาย,khâa-tua-taay
ค่าตัวแปร,khâa-tua-prɛɛ
ค่าตัวเลข,khâa-tua-lêek
ค่าตั๋ว,khâa-tǔa
ค่าตัว,khâa-tua
ขาดตัว,khàat-tua
ขาดตอน,khàat-tɔɔn
ขาดตกบกพร่อง,khàat-tòk-bòk-phrɔ̂ŋ
ขาดทุน,khàat-thun
คาดโทษ,khâat-thôot
ขาดทักษะ,khàat-thák-sà
ขาดตลาด,khàat-ta-làat
ฆาตกร,khâat-ta-kɔɔn
ฆาตกรรม,khâat-ta-kam
ขาดสอบ,khàat-sɔ̀ɔp
ขาดสติ,khàat-sa-tì
ขาดสภาพคล่อง,khàat-sa-phâap-khlɔ̂ŋ
ขาดสะบั้น,khàat-sà-bân
ขาดสารอาหาร,khàat-sǎan-aa-hǎan
ขาดเรียน,khàat-rian
ขาดระยะ,khàat-rá-yá
ขาดปาก,khàat-pàak
ค่าตอบแทน,khâa-tɔ̀ɔp-thɛɛn
ค่าต๋ง,khâa-tǒŋ
ขาดเงิน,khàat-ŋən
ขาดงาน,khàat-ŋaan
คาดหน้า,khâat-nâa
ขาดเม็ด,khàat-mét
คาดไม่ถึง,khâat-mây-thʉ̌ŋ
ขาดไม่ได้,khàat-mây-dâay
คาดหมัด,khâat-màt
คาดหมาย,khâat-mǎay
ขาดมือ,khàat-mʉʉ
ขาดลุ่ย,khàat-lûy
ขาดลอย,khàat-lɔɔy
ขาดเหลือ,khàat-lʉ̌a
ขาดความมั่นใจ,khàat-khwaam-mân-cay
ขาดคราว,khàat-khraaw
ขาดคอช้าง,khàat-khɔɔ-cháaŋ
ขาดแคลน,khàat-khlɛɛn
คาดคิด,khâat-khít
คาดเข็มขัด,khâat-khěm-khàt
คาดคะเน,khâat-khá-nee
คาดคั้น,khâat-khán
ขาดคำ,khàat-kham
ขาดๆ-วิ่นๆ,khàat-khàat-wîn-wîn
คาดค่า,khâat-khâa
ขาดค่า,khàat-khâa
ขาดกัน,khàat-kan
ขาดการติดต่อ,khàat-kaan-tìt-tɔ̀ɔ
ขาดการศึกษา,khàat-kaan-sʉ̀k-sǎa
คาดการณ์ล่วงหน้า,khâat-kaan-lûaŋ-nâa
คาดการณ์,khâat-kaan
ค่าถัวเฉลี่ย,khâa-thǔa-cha-lìa
ค่าทดแทน,khâa-thót-thɛɛn
ค่าโทรศัพท์,khâa-thoo-ra-sàp
คาทอลิก,khaa-thɔɔ-lìk
คาที่,khaa-thîi
ค่าไถ่,khâa-thày
ค่าทนายความ,khâa-tha-naay-khwaam
ค่าธรรมเนียม,khâa-tham-niam
ค่าทำขวัญ,khâa-tham-khwǎn
ขาดหาย,khàat-hǎay
ข้าทาส,khâa-thâat
คาถาพัน,khaa-thǎa-phan
คาถาอาคม,khaa-thǎa-aa-khom
คาถา,khaa-thǎa
คาดฝัน,khâat-fǎn
ขาดดุลการค้า,khàat-dun-kaan-kháa
ขาดดุล,khàat-dun
คาดเดา,khâat-daw
ขาดช่วง,khàat-chûaŋ
ขาดใจ,khàat-cay
ขาตั้ง,khǎa-tâŋ
ขาดอายุ,khàat-aa-yú
ขาดอาหาร,khàat-aa-hǎan
คาตา,khaa-taa
ฆาต,khâat
คาด,khâat
คาด,khâat
ขาด,khàat
ค่าสูงสุด,khâa-sǔuŋ-sùt
ค่าส่งเสีย,khâa-sòŋ-sǐa
ค้าส่ง,kháa-sòŋ
ข้าศึก,khâa-sʉ̀k
ค่าสินไหม,khâa-sǐn-mǎy
ค่าเสียหาย,khâa-sǐa-hǎay
ค่าสัมประสิทธิ์,khâa-sǎm-prà-sìt
ค่าเสมอภาค,khâa-sa-mə̌ə-phâak
ค่าสัมบูรณ์,khâa-sǎm-buun
ค่ารถ,khâa-rót
คารม,khaa-rom
ค่าเรียน,khâa-rian
ค่าแรงงาน,khâa-rɛɛŋ-ŋaan
ค่าแรงขั้นต่ำ,khâa-rɛɛŋ-khân-tàm
ค่าแรง,khâa-rɛɛŋ
ค่าฤชาธรรมเนียม,khâa-rʉ́-chaa-tham-niam
ค่าระวาง,khâa-rá-waaŋ
คารวะ,khaa-rá-wá
ค่ารักษาพยาบาล,khâa-rák-sǎa-pha-yaa-baan
ฆราวาส,khaa-raa-wâat
คาราวาน,khaa-raa-waan
คาราเต้,khaa-raa-têe
ข้าราชการพลเรือน,khâa-râat-cha-kaan-phon-la-rʉan
ข้าราชการการเมือง,khâa-râat-cha-kaan-kaan-mʉaŋ
ข้าราชการชั้นผู้ใหญ่,khâa-râat-cha-kaan-chán-phûu-yày
ข้าราชการ,khâa-râat-cha-kaan
ข้าราชบริพาร,khâa-râat-cha-bɔɔ-rí-phaan
คาราคาซัง,khaa-raa-khaa-saŋ
ค่าเรือ,khâa-rʉa
ค่าป่วยการ,khâa-pùay-kaan
คาบเส้น,khâap-sên
คาบสมุทร,khâap-sa-mùt
ค้าประเวณี,kháa-prà-wee-nii
ค่าปรับ,khâa-pràp
ขาประจำ,khǎa-prà-cam
ค้าปลีก,kháa-plìik
คาบเกี่ยวกัน,khâap-kìaw-kan
คาบเกี่ยว,khâap-kìaw
ฆ่าปิดปาก,khâa-pìt-pàak
ค่าปิดปาก,khâa-pìt-pàak
ข้าพระพุทธเจ้า,khâa-phrá-phút-thá-câaw
ข้าแผ่นดิน,khâa-phɛ̀n-din
ขาพับ,khǎa-pháp
ข้าพเจ้า,khâa-pha-câw
ค่าภาษีอากร,khâa-phaa-sǐi-aa-kɔɔn
ค่าภาษี,khâa-phaa-sǐi
ค่าผ่านประตู,khâa-phàan-prà-tuu
ค่าภาคหลวง,khâa-phâak-lǔaŋ
ค่าพาหนะ,khâa-phaa-hà-ná
ค่าปฏิกรรมสงคราม,khâa-pa-tì-kam-sǒŋ-khraam
คาบ,khâap
ขาบ,khàap
ขาอ่อน,khǎa-ɔ̀ɔn
ขาออก,khǎa-ɔ̀ɔk
ขานตอบ,khǎan-tɔ̀ɔp
ขานรับ,khǎan-ráp
ขานรหัส,khǎan-ra-hàt
ค่านิยมทางสังคม,khâa-ní-yom-thaaŋ-sǎŋ-khom
ค่านิยม,khâa-ní-yom
คานหาม,khaan-hǎam
ค่างวด,khâa-ŋûat
ข้างต้น,khâaŋ-tôn
คางทูม,khaaŋ-thuum
ข้างทาง,khâaŋ-thaaŋ
ค้างเติ่ง,kháaŋ-tə̀ŋ
ข้างใต้,khâaŋ-tâay
ค้างสต๊อก,kháaŋ-sa-tɔ́k
ข้างแรม,khâaŋ-rɛɛm
ค้างแรม,kháaŋ-rɛɛm
ค้างปี,kháaŋ-pii
ข้างน้อย,khâaŋ-nɔ́ɔy
ข้างนอก,khâaŋ-nɔ̂ɔk
ข้างใน,khâaŋ-nay
ข้างหน้า,khâaŋ-nâa
คางหมู,khaaŋ-mǔu
ข้างมาก,khâaŋ-mâak
ข้างหลัง,khâaŋ-lǎŋ
ข้างล่าง,khâaŋ-lâaŋ
ข้างกบ,khâaŋ-kòp
คางคก,khaaŋ-khók
ข้างขึ้น,khâaŋ-khʉ̂n
ค้างคืน,kháaŋ-khʉʉn
ข้างเคียง,khâaŋ-khiaŋ
ค้างคาว,kháaŋ-khaaw
ข้างๆ,khâaŋ-khâaŋ
ค้างคา,kháaŋ-khaa
ค่าเงินบาท,khâa-ŋən-bàat
ค่าเงิน,khâa-ŋən
ข้างเดียว,khâaŋ-diaw
ข้างใดข้างหนึ่ง,khâaŋ-day-khâaŋ-nʉ̀ŋ
ค้างชำระ,kháaŋ-cham-rá
ข้างบน,khâaŋ-bon
ข้าง,khâaŋ
ค่าง,khâaŋ
ค้าง,kháaŋ
คาง,khaaŋ
ขานชื่อ,khǎan-chʉ̂ʉ
ค้าเนื้อสด,kháa-nʉ́a-sòt
คาหนังคาเขา,khaa-nǎŋ-khaa-khǎw
คานอำนาจ,khaan-am-nâat
ค่านายหน้า,khâa-naay-nâa
ค่าน้ำนม,khâa-náam-nom
ค่าน้ำค่าไฟ,khâa-náam-khâa-fay
ค่าหน้าดิน,khâa-nâa-din
ขาล,khǎan
ขาน,khǎan
ค้าน,kháan
คาน,khaan
ข้ามเรือ,khâam-rʉa
ข้ามพรมแดน,khâam-phrom-dɛɛn
ข้ามหน้าข้ามตา,khâam-nâa-khâam-taa
ข้ามหน้า,khâam-nâa
ข้ามคืน,khâam-khʉʉn
ข้ามหัว,khâam-hǔa
ข้ามฟาก,khâam-fâak
ข้ามแดน,khâam-dɛɛn
ข้ามชาติ,khâam-châat
ค่ามาตรฐาน,khâa-mâat-tra-thǎan
ขาม้า,khǎa-máa
ข้าม,khâam
คามือ,khaa-mʉʉ
ข้าหลวงใหญ่,khâa-lǔaŋ-yày
ค่าล่วงเวลา,khâa-lûaŋ-wee-laa
ข้าหลวงน้อย,khâa-lǔaŋ-nɔ́ɔy
ข้าหลวง,khâa-lǔaŋ
ค่าลิขสิทธิ์,khâa-lík-kha-sìt
ค่าเลี้ยงดู,khâa-líaŋ-duu
ค่าเลี้ยงชีพ,khâa-líaŋ-chîip
ค่าเล่าเรียน,khâa-lâw-rian
ขาก๊วย,khǎa-kûay
คากรอง,khaa-krɔɔŋ
ค่าก่อสร้าง,khâa-kɔ̀ɔ-sâaŋ
ขากลับ,khǎa-klàp
ค่ากลาง,khâa-klaaŋ
ค่าความจริง,khâa-khwaam-ciŋ
ค่าครองชีพ,khâa-khrɔɔŋ-chîip
ค่าโฆษณา,khâa-khôot-sa-naa
ค้าของเถื่อน,kháa-khɔ̌ɔŋ-thʉ̀an
ค่าขนส่ง,khâa-khǒn-sòŋ
ค่าคงตัว,khâa-khoŋ-tua
ค่าคงที่,khâa-khoŋ-thîi
ฆ่าคน,khâa-khon
ขาแข้ง,khǎa-khɛ̂ŋ
ขาเข้า,khǎa-khâw
ค้าขาย,kháa-khǎay
ข้าเก่าเต่าเลี้ยง,khâa-kàw-tàw-líaŋ
ขากรรไกร,khǎa-kan-kray
ค้ากำไรเกินควร,kháa-kam-ray-kəən-khuan
ค่ากำเหน็จ,khâa-kam-nèt
ขาก,khàak
คาเฟอีน,khaa-fee-iin
คาเฟ่,khaa-fêe
ค่าไฟฟ้า,khâa-fay-fáa
ฆ่าฟัน,khâa-fan
ค่าโดยสาร,khâa-dooy-sǎan
ค่าเดินทาง,khâa-dəən-thaaŋ
ขาดวิ่น,khǎa-da-wîn
ขาจร,khǎa-cɔɔn
ขาโจ๋,khǎa-cǒo
ค่าชดเชย,khâa-chôt-chəəy
ค่าใช้สอย,khâa-cháy-sɔ̌ɔy
ค่าใช้จ่าย,khâa-cháy-càay
ค่าเช่า,khâa-châw
ค่าเฉลี่ย,khâa-cha-lìa
ฆ่าเชื้อ,khâa-chʉ́a
คาใจ,khaa-cay
ข้าเจ้า,khâa-câaw
ค่าจ้างรายเดือน,khâa-câaŋ-raay-dʉan
ค่าจ้างขั้นต่ำ,khâa-câaŋ-khân-tàm
ค่าจ้าง,khâa-câaŋ
คาร์บูเรเตอร์,khaa-buu-ree-tə̂ə
ค่าบริการ,khâa-bɔɔ-rí-kaan
คาร์โบรันดัม,khaa-boo-ran-dâm
คาร์บอเนต,khaa-bɔɔ-nèt
คาร์บอลิก,khaa-bɔɔ-lìk
คาร์โบไฮเดรต,khaa-boo-hay-drèet
คาร์บอนมอนอกไซด์,khaa-bɔ̂n-mɔɔ-nɔ́k-saay
คาร์บอนไดออกไซด์,khaa-bɔ̂n-day-ɔ́k-saay
คาร์บอน,khaa-bɔ̂n
ค่าเบี้ยเลี้ยง,khâa-bîa-líaŋ
ค่าบำรุงรักษา,khâa-bam-ruŋ-rák-sǎa
ค่าบำรุง,khâa-bam-ruŋ
ค่าบำเหน็จ,khâa-bam-nèt
ขา,khǎa
ข้า,khâa
ค่า,khâa
ฆ่า,khâa
ฆ่า,khâa
ข่า,khàa
ค้า,kháa
คา,khaa
ค่ะ,khâ
คะ,khá
ขื่อ,khʉ̀ʉ
คือ,khʉʉ
เก็จ,kèt
แกะสลัก,kɛ̀-sà-làk
แกะรอย,kɛ̀-rɔɔy
เก็บตัว,kèp-tua
เก็บตก,kèp-tòk
เก็บสำรอง,kèp-sǎm-rɔɔŋ
เก็บรักษา,kèp-rák-sǎa
เก็บผม,kèp-phǒm
เก็บเงิน,kèp-ŋən
เก็บงำ,kèp-ŋam
เก็บงาน,kèp-ŋaan
เก็บเนื้อเก็บตัว,kèp-nʉ́a-kèp-tua
เก็บหน้าผ้า,kèp-nâa-phâa
เก็บเล่ม,kèp-lêm
เก็บเล็ม,kèp-lem
เก็บเล็กผสมน้อย,kèp-lék-pha-sǒm-nɔ́ɔy
เก็บกวาด,kèp-kwàat
เก็บกด,kèp-kòt
เก็บกิน,kèp-kin
เก็บเกี่ยว,kèp-kìaw
เก็บความ,kèp-khwaam
เก็บอาการ,kèp-aa-kaan
แก๊ป,kɛ́p
เก็บ,kèp
แก่นแท้,kɛ̀n-thɛ́ɛ
แก่นสาร,kɛ̀n-sǎan
แก่นเรื่อง,kɛ̀n-rʉ̂aŋ
แก่นแก้ว,kɛ̀n-kɛ̂ɛw
แก่งแย่งชิงดี,kɛ̀ŋ-yɛ̂ɛŋ-chiŋ-dii
แก่งแย่ง,kɛ̀ŋ-yɛ̂ɛŋ
เก่งแต่ปาก,kèŋ-tɛ̀ɛ-pàak
เก่งกล้า,kèŋ-klâa
เก็งกำไร,keŋ-kam-ray
เก่งกาจ,kèŋ-kàat
แก๊ง,kɛ́ŋ
แก่ง,kɛ̀ŋ
เก๋ง,kěŋ
เก่ง,kèŋ
เก็ง,keŋ
แก่น,kɛ̀n
เก๊กซิม,kék-sim
เก๊กหน้า,kék-nâa
เกะกะ,kè-kà
แก๊ก,kɛ́k
เก๊ก,kék
เกย,kəəy
แก้วไวน์,kɛ̂ɛw-waay
แก้วตาดวงใจ,kɛ̂ɛw-taa-duaŋ-cay
แก้วตา,kɛ̂ɛw-taa
แก้วสีไม้ไผ่,kɛ̂ɛw-sǐi-máay-phày
แก้วสารพัดนึก,kɛ̂ɛw-sǎa-ra-phát-nʉ́k
แก้วผลึก,kɛ̂ɛw-phlʉ̀k
แก้วน้ำ,kɛ̂ɛw-náam
แก้วมรกต,kɛ̂ɛw-mɔɔ-ra-kòt
แก่วิชา,kɛ̀ɛ-wí-chaa
แก้วหู,kɛ̂ɛw-hǔu
แก้วแชมเปญ,kɛ̂ɛw-chɛɛm-peen
แก้วบรั่นดี,kɛ̂ɛw-bràn-dii
แก้ว,kɛ̂ɛw
แกว,kɛɛw
แก่ตัว,kɛ̀ɛ-tua
แก้ตัว,kɛ̂ɛ-tua
เกิดเรื่อง,kə̀ət-rʉ̂aŋ
เกิดผล,kə̀ət-phǒn
เกิดปฏิกิริยา,kə̀ət-pa-tì-kì-rí-yaa
แก๊สน้ำตา,kɛ́ɛt-náam-taa
เกิดก่อนกำหนด,kə̀ət-kɔ̀ɔn-kam-nòt
เกิดขึ้นในใจ,kə̀ət-khʉ̂n-nay-cay
เกิดขึ้น,kə̀ət-khʉ̂n
แก๊สไข่เน่า,kɛ́ɛt-khày-nâw
แก๊สหุงต้ม,kɛ́ɛt-hǔŋ-tôm
แก้โทษ,kɛ̂ɛ-thôot
แก้ที,kɛ̂ɛ-thii
เกิดเหตุ,kə̀ət-hèet
แก่เฒ่า,kɛ̀ɛ-thâw
แก๊สเฉื่อย,kɛ́ɛt-chʉ̀ay
แก้ต่าง,kɛ̂ɛ-tàaŋ
เกิด,kə̀ət
แก๊ส,kɛ́ɛt
เกศ,kèet
เกตุ,kèet
เกสร,kee-sɔ̌ɔn
แกโซฮอล,kɛɛ-soo-hɔɔn
เกศา,kee-sǎa
เกเร,kee-ree
แก้เผ็ด,kɛ̂ɛ-phèt
แก้ผ้า,kɛ̂ɛ-phâa
แก้ปัญหา,kɛ̂ɛ-pan-hǎa
เกินตัว,kəən-tua
เกินต้องการ,kəən-tɔ̂ŋ-kaan
เกณฑ์ทหาร,keen-tha-hǎan
